74.7 179.7 142 230.7 58.3
69.9 46.1 45.3 59.2 35.8
188 105.7 120.5 197.6 199.3
248 117.5 62.8 59.9 35
67 137.8 48.6 52.7 187.9
185.1 149.1 170.6 NA NA
37.8 171 32.7 NA 82.2
94.2 265.6 185.3 132.1 163.5
102.6 46.4 61.3 33.8 74.7
34.9 58.4 91.1 176.9 173.3
170.2 133.9 128.8 103.6 53.7
51 12.3 5.7 58.2 111.9
190.7 138 279.9 193.4 55.5
42.5 50.3 65 29.2 27.1
36.4 86 65.5 28.5 134.8
146.7 58 63.8 44.2 56.9
71.5 52.3 NA NA 221.7
241.6 176 364.4 83.5 136.9
28.7 66 56.4 21.7 118.4
108.4 126.2 120.7 73 113.1
151.7 97.7 120.6 54.9 40.9
NA 47.3 84.9 NA NA
193.1 128.2 87.6 105.6 105.7
42.4 49 61.5 59 139.1
152.3 231.9 179.1 120.6 145.6
37.8 52.8 71.9 NA NA
NA NA NA NA NA
NA NA NA NA NA
NA NA 35.5 159 390.1
236 308.7 NA 109.6 70
55.5 92 0 39.7 68
196 509.2 373.3 149.2 142.1
202.5 158.5 36.5 120.1 26.3
2 59 143.5 367 329.5
367 230 36.7 NA NA
NA NA NA NA NA
NA 327.6 360.6 79.4 162.5
135.4 114.6 115.8 21.4 1
49.3 177.8 95.9 449 552.3
296.8 80.5 125 12.8 0
12.9 48.1 83 109.3 119
88.8 43.5 260.7 62.5 43.8
55.5 28.8 67.1 44 0.6
383.9 182.5 569.6 302.7 141.7
140.7 199.8 68 24.9 3.5
3 17.4 52.9 119 125.1
97.4 173.7 75.2 12.8 24.8
25.7 22.8 27.1 67.4 34.1
175.8 128 119.7 268.3 242.1
24.5 28.9 11.7 8.6 162.4
41.7 76.4 194.5 434.7 214.3
165.8 151 40.1 73.8 32.5
89 10 76 99.5 364.3
439.5 384.2 195.1 28.1 21.2
66 0.2 13.5 40.9 80.6
79.3 265.2 144.2 232.2 177.7
108.8 208 120.9 73.6 15.1
3.4 39.2 14.2 55.6 563.6
145 127.5 200.3 107 118
40.3 5.4 25.5 65 194.4
41.3 174.2 163.6 132.5 123.5
137 63 49.6 10 0
74.8 50.8 429.9 488 123.1
191.3 85.8 44 74.8 30
93 15.5 37.5 216 269
393.8 349 237.5 152 65.5
41 36 12 44.5 57
161.1 21.5 226.5 222.5 145.5
127 73.1 14.8 48 10.5
4 13 44.8 240.4 69.4
194.8 353.5 50 14.5 22.3
14.2 NA NA 9 74.8
267.3 182.5 224 364.5 89
178.5 97.6 39 21.5 NA
23.5 44 83.5 360.7 369.7
214.9 31.8 72.2 74.7 70.5
51.5 16.5 58.1 145.3 87.2
199.1 187.4 311.7 148.5 50.1
48.9 3.5 32.4 50.1 10.8
25.3 194.9 271 102.2 124
52.5 77.1 74.1 130.9 NA
NA 14.1 33.1 185.2 178.5
115.2 284.5 176.3 26.6 26.3
1.4 1.5 0.5 104.3 52.7
113.5 411 361.4 120.2 119.6
43.6 2.8 NA NA NA
1.9 44.4 207.4 232.6 259.3
301 172.8 78.6 49.4 43.5
18 40 37 147 82
26.5 174 124 64 85
34 70 12 17.5 54.9
59.2 164.8 285.6 106 182
28 102 51 7 29
9 32 56 120 143
30 145 NA NA NA
14 19 11 20 16
167 259 162 98.2 54.8
60.6 25.8 22.7 21.2 26.1
25 32.4 154.6 262.2 NA
NA NA 23 8.1 NA
125 60.8 137 308 321.9
310.8 197.6 245.8 238.9 175.2
110.8 149.5 117.4 92.1 162.9
166.1 324.1 261.2 340.4 147.7
234.4 171.2 87.4 424.5 12.1
NA NA NA 184.5 279.7
172.9 173.6 244.7 402.3 124.5
258.1 127.9 48.4 251.4 338.9
287.9 332.4 357.1 149 74.6
82.9 255.3 167.5 116.1 90.2
96.8 278.3 430.7 478.4 215.3
246.2 234.5 237.7 210.8 222.7
127.7 53.2 62.9 204.6 355.7
492.2 391 307.6 157.4 154.3
141.7 12 99.1 134.9 190.9
207.1 238.2 192 165.9 231.1
168.2 185.4 186.7 86 300.5
81.3 69.5 382.9 109.6 469.8
366.6 183 244.9 223 285
171.1 62.4 33.2 104.8 87.1
191.1 132 243.3 259.2 113.8
76.6 67.6 73 71.2 76.8
168.9 75.6 266.1 347.5 253
433.9 269.9 71.9 130.1 139.8
57.4 199 100.2 142.3 183.2
508 281.7 199.7 155.1 195.2
177.4 128.8 241.7 94.5 116.1
123.5 305.1 265.6 350.9 187.9
84 NA 116.4 40.4 53.6
103.5 204.3 289.5 276.4 367.6
293.5 289.1 225 335.8 213.2
135.4 108.8 50.6 85.5 138.8
146.8 326.4 241.1 237.3 225.6
174.2 229.8 221.2 78.8 56.4
200.3 458.6 45.5 493 304.1
229.8 170 313.9 166.1 191.4
85.1 45.1 275.6 207.1 618.6
345.5 262.4 294.7 122.3 69.7
285.9 119.4 296.8 93.8 186.7
235 154.1 483.6 292.1 199.2
203.6 247.5 108 NA NA
