NA NA 3 0.2 0
0.2 NA 2 1.4 2.8
2 6.4 5 6 4
-1 0.2 -2 -1.8 0.2
2 3.8 5 6.8 7
7 4.4 0 3 0
0 0.4 NA NA NA
NA NA NA NA NA
4 1 0.1 0.3 4.2
0.3 6 3.8 4.6 3.2
2.6 2.4 0 -2.4 -1.2
1 0.8 3.2 6.4 5
4.6 0.2 1.2 1 -2.4
0 1 1 3 3.8
5 6.8 4.8 3.4 4.6
2 3 1 0 2.2
3 6 7 6.2 8
2.8 2.8 4.8 0 -0.8
-1 1.1 1.5 3 4.2
5.6 3 4.5 4.8 4.8
-1 1 1.6 3.8 5.4
1.5 5.5 5.8 5 4.5
5 3.8 2.3 2 4.2
-1.5 1.5 6 6 7
7.2 8.4 4 5 2
-2 1 3 4.5 5
7 8.8 10 8 5
3 1 -0.1 4.8 5
2 6 7.5 7.5 6
6 4.5 2.8 3 1.5
3 4 3.5 6 8
8.9 9 7 4 2
2 2 1 5 6
6 8.5 7 9 4.8
4.5 4 1.5 5 3
1.1 6 7 8 7
9 8 4 2 6
-2 -2 2 3 6
8 7 9 10.2 6
4 -2 0 1 3
5 5 6 7 11
9 4 4 5 NA
0.6 1 3 7 11
8 NA 7.2 3 4
1 1.8 0.8 1.5 2
5 8 10 8 7
1 2 2 1 1
3 0 4 1.3 9
9.5 7 3 3 2
2 1.1 3 4 5.5
NA 9 8.5 9 7
4 2 0 2 3
3 NA NA NA NA
3 NA NA -1 NA
NA NA 2 NA NA
1 3 NA NA NA
